z, Voltage (V), Electric Field (Newton/Coulomb)
0.00387664 , 1938.42 , -149285
0.00387164 , 1937.67 , -150190
0.00386664 , 1936.92 , -151094
0.00386164 , 1936.16 , -151999
0.00385664 , 1935.4 , -152904
0.00385164 , 1934.63 , -153809
0.00384664 , 1933.86 , -154713
0.00384164 , 1933.08 , -155618
0.00383664 , 1932.3 , -156523
0.00383164 , 1931.52 , -157428
0.00382664 , 1930.73 , -158332
0.00382164 , 1929.94 , -159237
0.00381664 , 1929.14 , -160142
0.00381164 , 1928.33 , -161047
0.00380664 , 1927.53 , -161951
0.00380164 , 1926.71 , -162856
0.00379664 , 1925.9 , -163761
0.00379164 , 1925.08 , -164666
0.00378664 , 1924.25 , -165570
0.00378164 , 1923.42 , -166475
0.00377664 , 1922.59 , -167380
0.00377164 , 1921.75 , -168285
0.00376664 , 1920.9 , -169189
0.00376164 , 1920.06 , -170094
0.00375664 , 1919.2 , -170999
0.00375164 , 1918.35 , -171904
0.00374664 , 1917.48 , -172808
0.00374164 , 1916.62 , -173713
0.00373664 , 1915.75 , -174618
0.00373164 , 1914.87 , -175523
0.00372664 , 1913.99 , -176428
0.00372164 , 1913.11 , -177332
0.00371664 , 1912.22 , -178237
0.00371164 , 1911.32 , -179142
0.00370664 , 1910.43 , -180046
0.00370164 , 1909.52 , -180951
0.00369664 , 1908.62 , -181856
0.00369164 , 1907.71 , -182761
0.00368664 , 1906.79 , -183666
0.00368164 , 1905.87 , -184570
0.00367664 , 1904.94 , -185475
0.00367164 , 1904.01 , -186380
0.00366664 , 1903.08 , -187285
0.00366164 , 1902.14 , -188189
0.00365664 , 1901.2 , -189094
0.00365164 , 1900.25 , -189999
0.00364664 , 1899.3 , -190904
0.00364164 , 1898.34 , -191808
0.00363664 , 1897.38 , -192713
0.00363164 , 1896.41 , -193618
0.00362664 , 1895.44 , -194523
0.00362164 , 1894.47 , -195427
0.00361664 , 1893.49 , -196332
0.00361164 , 1892.51 , -197237
0.00360664 , 1891.52 , -198142
0.00360164 , 1890.52 , -199046
0.00359664 , 1889.53 , -199951
0.00359164 , 1888.52 , -200856
0.00358664 , 1887.52 , -201761
0.00358164 , 1886.51 , -202665
0.00357664 , 1885.49 , -203570
0.00357164 , 1884.47 , -204475
0.00356664 , 1883.45 , -205380
0.00356164 , 1882.42 , -206284
0.00355664 , 1881.38 , -207189
0.00355164 , 1880.35 , -208094
0.00354664 , 1879.3 , -208999
0.00354164 , 1878.26 , -209903
0.00353664 , 1877.2 , -210808
0.00353164 , 1876.15 , -211713
0.00352664 , 1875.09 , -212618
0.00352164 , 1874.02 , -213523
0.00351664 , 1872.95 , -214427
0.00351164 , 1871.88 , -215332
0.00350664 , 1870.8 , -216237
0.00350164 , 1869.72 , -217142
0.00349664 , 1868.63 , -218046
0.00349164 , 1867.53 , -218951
0.00348664 , 1866.44 , -219856
0.00348164 , 1865.34 , -220761
0.00347664 , 1864.23 , -221665
0.00347164 , 1863.12 , -222570
0.00346664 , 1862 , -223475
0.00346164 , 1860.88 , -224380
0.00345664 , 1859.76 , -225284
0.00345164 , 1858.63 , -226189
0.00344664 , 1857.5 , -227094
0.00344164 , 1856.36 , -227999
0.00343664 , 1855.22 , -228903
0.00343164 , 1854.07 , -229808
0.00342664 , 1852.92 , -230713
0.00342164 , 1851.76 , -231618
0.00341664 , 1850.6 , -232522
0.00341164 , 1849.44 , -233427
0.00340664 , 1848.27 , -234332
0.00340164 , 1847.1 , -235237
0.00339664 , 1845.92 , -236141
0.00339164 , 1844.73 , -237046
0.00338664 , 1843.55 , -237951
0.00338164 , 1842.36 , -238856
0.00337664 , 1841.16 , -239760
0.00337164 , 1839.96 , -240665
0.00336664 , 1838.75 , -241570
0.00336164 , 1837.54 , -242475
0.00335664 , 1836.33 , -243379
0.00335164 , 1835.11 , -244284
0.00334664 , 1833.88 , -245189
0.00334164 , 1832.66 , -246094
0.00333664 , 1831.42 , -246998
0.00333164 , 1830.19 , -247903
0.00332664 , 1828.94 , -248808
0.00332164 , 1827.7 , -249713
0.00331664 , 1826.45 , -250618
0.00331164 , 1825.19 , -251522
0.00330664 , 1823.93 , -252427
0.00330164 , 1822.67 , -253332
0.00329664 , 1821.4 , -254237
0.00329164 , 1820.13 , -255141
0.00328664 , 1818.85 , -256046
0.00328164 , 1817.56 , -256951
0.00327664 , 1816.28 , -257856
0.00327164 , 1814.99 , -258760
0.00326664 , 1813.69 , -259665
0.00326164 , 1812.39 , -260570
0.00325664 , 1811.08 , -261475
0.00325164 , 1809.78 , -262379
0.00324664 , 1808.46 , -263284
0.00324164 , 1807.14 , -264189
