Time(s), z(m), vz(m/s), vp(m/s)
0,0.02,-12.0764,0
1e-10,0.02,-24.1527,0
2e-10,0.02,-36.2291,0
3e-10,0.02,-48.3055,0
4e-10,0.02,-60.3818,0
5e-10,0.02,-72.4582,0
6e-10,0.02,-84.5346,0
7e-10,0.02,-96.6109,0
8e-10,0.0199999,-108.687,0
9e-10,0.0199999,-120.764,0
1e-09,0.0199999,-132.84,0
1.1e-09,0.0199999,-144.916,0
1.2e-09,0.0199999,-156.993,0
1.3e-09,0.0199999,-169.069,0
1.4e-09,0.0199999,-181.146,0
1.5e-09,0.0199998,-193.222,0
1.6e-09,0.0199998,-205.298,0
1.7e-09,0.0199998,-217.375,0
1.8e-09,0.0199998,-229.451,0
1.9e-09,0.0199998,-241.527,0
2e-09,0.0199997,-253.604,0
2.1e-09,0.0199997,-265.68,0
2.2e-09,0.0199997,-277.756,0
2.3e-09,0.0199997,-289.833,0
2.4e-09,0.0199996,-301.909,0
2.5e-09,0.0199996,-313.986,0
2.6e-09,0.0199996,-326.062,0
2.7e-09,0.0199995,-338.138,0
2.8e-09,0.0199995,-350.215,0
2.9e-09,0.0199995,-362.291,0
3e-09,0.0199994,-374.367,0
3.1e-09,0.0199994,-386.444,0
3.2e-09,0.0199993,-398.52,0
3.3e-09,0.0199993,-410.596,0
3.4e-09,0.0199993,-422.673,0
3.5e-09,0.0199992,-434.749,0
3.6e-09,0.0199992,-446.825,0
3.7e-09,0.0199991,-458.902,0
3.8e-09,0.0199991,-470.978,0
3.9e-09,0.019999,-483.055,0
4e-09,0.019999,-495.131,0
4.1e-09,0.0199989,-507.207,0
4.2e-09,0.0199989,-519.284,0
4.3e-09,0.0199988,-531.36,0
4.4e-09,0.0199988,-543.436,0
4.5e-09,0.0199987,-555.513,0
4.6e-09,0.0199987,-567.589,0
4.7e-09,0.0199986,-579.665,0
4.8e-09,0.0199986,-591.742,0
4.9e-09,0.0199985,-603.818,0
5e-09,0.0199984,-615.894,0
5.1e-09,0.0199984,-627.971,0
5.2e-09,0.0199983,-640.047,0
5.3e-09,0.0199982,-652.123,0
5.4e-09,0.0199982,-664.2,0
5.5e-09,0.0199981,-676.276,0
5.6e-09,0.019998,-688.353,0
5.7e-09,0.019998,-700.429,0
5.8e-09,0.0199979,-712.505,0
5.9e-09,0.0199978,-724.582,0
6e-09,0.0199978,-736.658,0
6.1e-09,0.0199977,-748.734,0
6.2e-09,0.0199976,-760.811,0
6.3e-09,0.0199975,-772.887,0
6.4e-09,0.0199974,-784.963,0
6.5e-09,0.0199974,-797.04,0
6.6e-09,0.0199973,-809.116,0
6.7e-09,0.0199972,-821.192,0
6.8e-09,0.0199971,-833.269,0
6.9e-09,0.019997,-845.345,0
7e-09,0.019997,-857.422,0
7.1e-09,0.0199969,-869.498,0
7.2e-09,0.0199968,-881.574,0
7.3e-09,0.0199967,-893.651,0
7.4e-09,0.0199966,-905.727,0
7.5e-09,0.0199965,-917.803,0
7.6e-09,0.0199964,-929.88,0
7.7e-09,0.0199963,-941.956,0
7.8e-09,0.0199962,-954.032,0
7.9e-09,0.0199961,-966.109,0
8e-09,0.019996,-978.185,0
8.1e-09,0.0199959,-990.261,0
8.2e-09,0.0199958,-1002.34,0
8.3e-09,0.0199957,-1014.41,0
8.4e-09,0.0199956,-1026.49,0
8.5e-09,0.0199955,-1038.57,0
8.6e-09,0.0199954,-1050.64,0
8.7e-09,0.0199953,-1062.72,0
8.8e-09,0.0199952,-1074.8,0
8.9e-09,0.0199951,-1086.87,0
9e-09,0.019995,-1098.95,0
9.1e-09,0.0199949,-1111.03,0
9.2e-09,0.0199948,-1123.1,0
9.3e-09,0.0199947,-1135.18,0
9.4e-09,0.0199946,-1147.25,0
9.5e-09,0.0199944,-1159.33,0
9.6e-09,0.0199943,-1171.41,0
9.7e-09,0.0199942,-1183.48,0
9.8e-09,0.0199941,-1195.56,0
9.9e-09,0.019994,-1207.64,0
1e-08,0.0199938,-1219.71,0
1.01e-08,0.0199937,-1231.79,0
1.02e-08,0.0199936,-1243.87,0
1.03e-08,0.0199935,-1255.94,0
1.04e-08,0.0199933,-1268.02,0
1.05e-08,0.0199932,-1280.1,0
1.06e-08,0.0199931,-1292.17,0
1.07e-08,0.019993,-1304.25,0
1.08e-08,0.0199928,-1316.32,0
1.09e-08,0.0199927,-1328.4,0
1.1e-08,0.0199926,-1340.48,0
1.11e-08,0.0199924,-1352.55,0
1.12e-08,0.0199923,-1364.63,0
1.13e-08,0.0199922,-1376.71,0
1.14e-08,0.019992,-1388.78,0
1.15e-08,0.0199919,-1400.86,0
1.16e-08,0.0199917,-1412.94,0
1.17e-08,0.0199916,-1425.01,0
1.18e-08,0.0199914,-1437.09,0
1.19e-08,0.0199913,-1449.17,0
1.2e-08,0.0199912,-1461.24,0
1.21e-08,0.019991,-1473.32,0
1.22e-08,0.0199909,-1485.39,0
1.23e-08,0.0199907,-1497.47,0
1.24e-08,0.0199906,-1509.55,0
1.25e-08,0.0199904,-1521.62,0
1.26e-08,0.0199903,-1533.7,0
1.27e-08,0.0199901,-1545.78,0
1.28e-08,0.01999,-1557.85,0
1.29e-08,0.0199898,-1569.93,0
1.3e-08,0.0199896,-1582.01,0
1.31e-08,0.0199895,-1594.08,0
1.32e-08,0.0199893,-1606.16,0
1.33e-08,0.0199892,-1618.23,0
1.34e-08,0.019989,-1630.31,0
1.35e-08,0.0199888,-1642.39,0
1.36e-08,0.0199887,-1654.46,0
1.37e-08,0.0199885,-1666.54,0
1.38e-08,0.0199883,-1678.62,0
1.39e-08,0.0199882,-1690.69,0
1.4e-08,0.019988,-1702.77,0
1.41e-08,0.0199878,-1714.85,0
1.42e-08,0.0199877,-1726.92,0
1.43e-08,0.0199875,-1739,0
1.44e-08,0.0199873,-1751.08,0
1.45e-08,0.0199871,-1763.15,0
1.46e-08,0.019987,-1775.23,0
1.47e-08,0.0199868,-1787.3,0
1.48e-08,0.0199866,-1799.38,0
1.49e-08,0.0199864,-1811.46,0
1.5e-08,0.0199862,-1823.53,0
1.51e-08,0.0199861,-1835.61,0
1.52e-08,0.0199859,-1847.69,0
1.53e-08,0.0199857,-1859.76,0
1.54e-08,0.0199855,-1871.84,0
1.55e-08,0.0199853,-1883.92,0
1.56e-08,0.0199851,-1895.99,0
1.57e-08,0.0199849,-1908.07,0
1.58e-08,0.0199847,-1920.15,0
1.59e-08,0.0199845,-1932.22,0
1.6e-08,0.0199843,-1944.3,0
1.61e-08,0.0199842,-1956.37,0
1.62e-08,0.019984,-1968.45,0
1.63e-08,0.0199838,-1980.53,0
1.64e-08,0.0199836,-1992.6,0
1.65e-08,0.0199834,-2004.68,0
1.66e-08,0.0199832,-2016.76,0
1.67e-08,0.019983,-2028.83,0
1.68e-08,0.0199828,-2040.91,0
1.69e-08,0.0199826,-2052.99,0
1.7e-08,0.0199823,-2065.06,0
1.71e-08,0.0199821,-2077.14,0
1.72e-08,0.0199819,-2089.22,0
1.73e-08,0.0199817,-2101.29,0
1.74e-08,0.0199815,-2113.37,0
1.75e-08,0.0199813,-2125.44,0
1.76e-08,0.0199811,-2137.52,0
1.77e-08,0.0199809,-2149.6,0
1.78e-08,0.0199807,-2161.67,0
1.79e-08,0.0199804,-2173.75,0
1.8e-08,0.0199802,-2185.83,0
1.81e-08,0.01998,-2197.9,0
1.82e-08,0.0199798,-2209.98,0
1.83e-08,0.0199796,-2222.06,0
1.84e-08,0.0199793,-2234.13,0
1.85e-08,0.0199791,-2246.21,0
1.86e-08,0.0199789,-2258.28,0
1.87e-08,0.0199787,-2270.36,0
1.88e-08,0.0199784,-2282.44,0
1.89e-08,0.0199782,-2294.51,0
1.9e-08,0.019978,-2306.59,0
1.91e-08,0.0199777,-2318.67,0
1.92e-08,0.0199775,-2330.74,0
1.93e-08,0.0199773,-2342.82,0
1.94e-08,0.019977,-2354.9,0
1.95e-08,0.0199768,-2366.97,0
1.96e-08,0.0199766,-2379.05,0
1.97e-08,0.0199763,-2391.13,0
1.98e-08,0.0199761,-2403.2,0
1.99e-08,0.0199758,-2415.28,0
2e-08,0.0199756,-2427.35,0
2.01e-08,0.0199754,-2439.43,0
2.02e-08,0.0199751,-2451.51,0
2.03e-08,0.0199749,-2463.58,0
2.04e-08,0.0199746,-2475.66,0
2.05e-08,0.0199744,-2487.74,0
2.06e-08,0.0199741,-2499.81,0
2.07e-08,0.0199739,-2511.89,0
2.08e-08,0.0199736,-2523.97,0
2.09e-08,0.0199734,-2536.04,0
2.1e-08,0.0199731,-2548.12,0
2.11e-08,0.0199729,-2560.2,0
2.12e-08,0.0199726,-2572.27,0
2.13e-08,0.0199723,-2584.35,0
2.14e-08,0.0199721,-2596.42,0
2.15e-08,0.0199718,-2608.5,0
2.16e-08,0.0199716,-2620.58,0
2.17e-08,0.0199713,-2632.65,0
2.18e-08,0.019971,-2644.73,0
2.19e-08,0.0199708,-2656.81,0
2.2e-08,0.0199705,-2668.88,0
2.21e-08,0.0199702,-2680.96,0
2.22e-08,0.01997,-2693.04,0
2.23e-08,0.0199697,-2705.11,0
2.24e-08,0.0199694,-2717.19,0
2.25e-08,0.0199692,-2729.27,0
2.26e-08,0.0199689,-2741.34,0
2.27e-08,0.0199686,-2753.42,0
2.28e-08,0.0199683,-2765.49,0
2.29e-08,0.0199681,-2777.57,0
2.3e-08,0.0199678,-2789.65,0
2.31e-08,0.0199675,-2801.72,0
2.32e-08,0.0199672,-2813.8,0
2.33e-08,0.0199669,-2825.88,0
2.34e-08,0.0199667,-2837.95,0
2.35e-08,0.0199664,-2850.03,0
2.36e-08,0.0199661,-2862.11,0
2.37e-08,0.0199658,-2874.18,0
2.38e-08,0.0199655,-2886.26,0
2.39e-08,0.0199652,-2898.33,0
2.4e-08,0.0199649,-2910.41,0
2.41e-08,0.0199646,-2922.49,0
2.42e-08,0.0199643,-2934.56,0
2.43e-08,0.0199641,-2946.64,0
2.44e-08,0.0199638,-2958.72,0
2.45e-08,0.0199635,-2970.79,0
2.46e-08,0.0199632,-2982.87,0
2.47e-08,0.0199629,-2994.95,0
2.48e-08,0.0199626,-3007.02,0
2.49e-08,0.0199623,-3019.1,0
2.5e-08,0.019962,-3031.18,0
2.51e-08,0.0199617,-3043.25,0
2.52e-08,0.0199614,-3055.33,0
2.53e-08,0.019961,-3067.4,0
2.54e-08,0.0199607,-3079.48,0
2.55e-08,0.0199604,-3091.56,0
2.56e-08,0.0199601,-3103.63,0
2.57e-08,0.0199598,-3115.71,0
2.58e-08,0.0199595,-3127.79,0
2.59e-08,0.0199592,-3139.86,0
2.6e-08,0.0199589,-3151.94,0
2.61e-08,0.0199586,-3164.02,0
2.62e-08,0.0199582,-3176.09,0
2.63e-08,0.0199579,-3188.17,0
2.64e-08,0.0199576,-3200.25,0
2.65e-08,0.0199573,-3212.32,0
2.66e-08,0.019957,-3224.4,0
2.67e-08,0.0199566,-3236.47,0
2.68e-08,0.0199563,-3248.55,0
2.69e-08,0.019956,-3260.63,0
2.7e-08,0.0199557,-3272.7,0
2.71e-08,0.0199553,-3284.78,0
2.72e-08,0.019955,-3296.86,0
2.73e-08,0.0199547,-3308.93,0
2.74e-08,0.0199543,-3321.01,0
2.75e-08,0.019954,-3333.09,0
2.76e-08,0.0199537,-3345.16,0
2.77e-08,0.0199533,-3357.24,0
2.78e-08,0.019953,-3369.32,0
2.79e-08,0.0199527,-3381.39,0
2.8e-08,0.0199523,-3393.47,0
2.81e-08,0.019952,-3405.54,0
2.82e-08,0.0199516,-3417.62,0
2.83e-08,0.0199513,-3429.7,0
2.84e-08,0.019951,-3441.77,0
2.85e-08,0.0199506,-3453.85,0
2.86e-08,0.0199503,-3465.93,0
2.87e-08,0.0199499,-3478,0
2.88e-08,0.0199496,-3490.08,0
2.89e-08,0.0199492,-3502.16,0
2.9e-08,0.0199489,-3514.23,0
2.91e-08,0.0199485,-3526.31,0
2.92e-08,0.0199482,-3538.39,0
2.93e-08,0.0199478,-3550.46,0
2.94e-08,0.0199475,-3562.54,0
2.95e-08,0.0199471,-3574.61,0
2.96e-08,0.0199467,-3586.69,0
2.97e-08,0.0199464,-3598.77,0
2.98e-08,0.019946,-3610.84,0
2.99e-08,0.0199457,-3622.92,0
3e-08,0.0199453,-3635,0
3.01e-08,0.0199449,-3647.07,0
3.02e-08,0.0199446,-3659.15,0
3.03e-08,0.0199442,-3671.23,0
3.04e-08,0.0199438,-3683.3,0
3.05e-08,0.0199435,-3695.38,0
3.06e-08,0.0199431,-3707.45,0
3.07e-08,0.0199427,-3719.53,0
3.08e-08,0.0199423,-3731.61,0
3.09e-08,0.019942,-3743.68,0
3.1e-08,0.0199416,-3755.76,0
3.11e-08,0.0199412,-3767.84,0
3.12e-08,0.0199408,-3779.91,0
3.13e-08,0.0199405,-3791.99,0
3.14e-08,0.0199401,-3804.07,0
3.15e-08,0.0199397,-3816.14,0
3.16e-08,0.0199393,-3828.22,0
3.17e-08,0.0199389,-3840.3,0
3.18e-08,0.0199386,-3852.37,0
3.19e-08,0.0199382,-3864.45,0
3.2e-08,0.0199378,-3876.52,0
3.21e-08,0.0199374,-3888.6,0
3.22e-08,0.019937,-3900.68,0
3.23e-08,0.0199366,-3912.75,0
3.24e-08,0.0199362,-3924.83,0
3.25e-08,0.0199358,-3936.91,0
3.26e-08,0.0199354,-3948.98,0
3.27e-08,0.019935,-3961.06,0
3.27999e-08,0.0199346,-3973.14,0
3.28999e-08,0.0199342,-3985.21,0
3.29999e-08,0.0199338,-3997.29,0
3.30999e-08,0.0199334,-4009.37,0
3.31999e-08,0.019933,-4021.44,0
3.32999e-08,0.0199326,-4033.52,0
3.33999e-08,0.0199322,-4045.59,0
3.34999e-08,0.0199318,-4057.67,0
3.35999e-08,0.0199314,-4069.75,0
3.36999e-08,0.019931,-4081.82,0
3.37999e-08,0.0199306,-4093.9,0
3.38999e-08,0.0199302,-4105.98,0
3.39999e-08,0.0199298,-4118.05,0
3.40999e-08,0.0199294,-4130.13,0
3.41999e-08,0.019929,-4142.21,0
3.42999e-08,0.0199285,-4154.28,0
3.43999e-08,0.0199281,-4166.36,0
3.44999e-08,0.0199277,-4178.43,0
3.45999e-08,0.0199273,-4190.51,0
3.46999e-08,0.0199269,-4202.59,0
3.47999e-08,0.0199265,-4214.66,0
3.48999e-08,0.019926,-4226.74,0
3.49999e-08,0.0199256,-4238.81,0
3.50999e-08,0.0199252,-4250.89,0
3.51999e-08,0.0199248,-4262.97,0
3.52999e-08,0.0199243,-4275.04,0
3.53999e-08,0.0199239,-4287.12,0
3.54999e-08,0.0199235,-4299.2,0
3.55999e-08,0.019923,-4311.27,0
3.56999e-08,0.0199226,-4323.35,0
3.57999e-08,0.0199222,-4335.42,0
3.58999e-08,0.0199217,-4347.5,0
3.59999e-08,0.0199213,-4359.58,0
3.60999e-08,0.0199209,-4371.65,0
3.61999e-08,0.0199204,-4383.73,0
3.62999e-08,0.01992,-4395.8,0
3.63999e-08,0.0199196,-4407.88,0
3.64999e-08,0.0199191,-4419.96,0
3.65999e-08,0.0199187,-4432.03,0
3.66999e-08,0.0199182,-4444.11,0
3.67999e-08,0.0199178,-4456.19,0
3.68999e-08,0.0199173,-4468.26,0
3.69999e-08,0.0199169,-4480.34,0
3.70999e-08,0.0199164,-4492.41,0
3.71999e-08,0.019916,-4504.49,0
3.72999e-08,0.0199155,-4516.57,0
3.73999e-08,0.0199151,-4528.64,0
3.74999e-08,0.0199146,-4540.72,0
3.75999e-08,0.0199142,-4552.79,0
3.76999e-08,0.0199137,-4564.87,0
3.77999e-08,0.0199133,-4576.95,0
3.78999e-08,0.0199128,-4589.02,0
3.79999e-08,0.0199124,-4601.1,0
3.80999e-08,0.0199119,-4613.18,0
3.81999e-08,0.0199114,-4625.25,0
3.82999e-08,0.019911,-4637.33,0
3.83999e-08,0.0199105,-4649.4,0
3.84998e-08,0.01991,-4661.48,0
3.85998e-08,0.0199096,-4673.56,0
3.86998e-08,0.0199091,-4685.63,0
3.87998e-08,0.0199086,-4697.71,0
3.88998e-08,0.0199082,-4709.79,0
3.89998e-08,0.0199077,-4721.86,0
3.90998e-08,0.0199072,-4733.94,0
3.91998e-08,0.0199067,-4746.01,0
3.92998e-08,0.0199063,-4758.09,0
3.93998e-08,0.0199058,-4770.17,0
3.94998e-08,0.0199053,-4782.24,0
3.95998e-08,0.0199048,-4794.32,0
3.96998e-08,0.0199044,-4806.39,0
3.97998e-08,0.0199039,-4818.47,0
3.98998e-08,0.0199034,-4830.55,0
3.99998e-08,0.0199029,-4842.62,0
4.00998e-08,0.0199024,-4854.7,0
4.01998e-08,0.0199019,-4866.78,0
4.02998e-08,0.0199014,-4878.85,0
4.03998e-08,0.019901,-4890.93,0
4.04998e-08,0.0199005,-4903,0
4.05998e-08,0.0199,-4915.08,0
4.06998e-08,0.0198995,-4927.16,0
4.07998e-08,0.019899,-4939.23,0
4.08998e-08,0.0198985,-4951.31,0
4.09998e-08,0.019898,-4963.38,0
4.10998e-08,0.0198975,-4975.46,0
4.11998e-08,0.019897,-4987.54,0
4.12998e-08,0.0198965,-4999.61,0
4.13998e-08,0.019896,-5011.69,0
4.14998e-08,0.0198955,-5023.77,0
4.15998e-08,0.019895,-5035.84,0
4.16998e-08,0.0198945,-5047.92,0
4.17998e-08,0.019894,-5059.99,0
4.18998e-08,0.0198935,-5072.07,0
4.19998e-08,0.019893,-5084.15,0
4.20998e-08,0.0198925,-5096.22,0
4.21998e-08,0.019892,-5108.3,0
4.22998e-08,0.0198915,-5120.38,0
4.23998e-08,0.0198909,-5132.45,0
4.24998e-08,0.0198904,-5144.53,0
4.25998e-08,0.0198899,-5156.6,0
4.26998e-08,0.0198894,-5168.68,0
4.27998e-08,0.0198889,-5180.76,0
4.28998e-08,0.0198884,-5192.83,0
4.29998e-08,0.0198878,-5204.91,0
4.30998e-08,0.0198873,-5216.98,0
4.31998e-08,0.0198868,-5229.06,0
4.32998e-08,0.0198863,-5241.14,0
4.33998e-08,0.0198857,-5253.21,0
4.34998e-08,0.0198852,-5265.29,0
4.35998e-08,0.0198847,-5277.37,0
4.36998e-08,0.0198842,-5289.44,0
4.37998e-08,0.0198836,-5301.52,0
4.38998e-08,0.0198831,-5313.59,0
4.39998e-08,0.0198826,-5325.67,0
4.40997e-08,0.019882,-5337.75,0
4.41997e-08,0.0198815,-5349.82,0
4.42997e-08,0.019881,-5361.9,0
4.43997e-08,0.0198804,-5373.97,0
4.44997e-08,0.0198799,-5386.05,0
4.45997e-08,0.0198794,-5398.13,0
4.46997e-08,0.0198788,-5410.2,0
4.47997e-08,0.0198783,-5422.28,0
4.48997e-08,0.0198777,-5434.36,0
4.49997e-08,0.0198772,-5446.43,0
4.50997e-08,0.0198766,-5458.51,0
4.51997e-08,0.0198761,-5470.58,0
4.52997e-08,0.0198755,-5482.66,0
4.53997e-08,0.019875,-5494.74,0
4.54997e-08,0.0198744,-5506.81,0
4.55997e-08,0.0198739,-5518.89,0
4.56997e-08,0.0198733,-5530.96,0
4.57997e-08,0.0198728,-5543.04,0
4.58997e-08,0.0198722,-5555.12,0
4.59997e-08,0.0198717,-5567.19,0
4.60997e-08,0.0198711,-5579.27,0
4.61997e-08,0.0198706,-5591.35,0
4.62997e-08,0.01987,-5603.42,0
4.63997e-08,0.0198694,-5615.5,0
4.64997e-08,0.0198689,-5627.57,0
4.65997e-08,0.0198683,-5639.65,0
4.66997e-08,0.0198678,-5651.73,0
4.67997e-08,0.0198672,-5663.8,0
4.68997e-08,0.0198666,-5675.88,0
4.69997e-08,0.0198661,-5687.96,0
4.70997e-08,0.0198655,-5700.03,0
4.71997e-08,0.0198649,-5712.11,0
4.72997e-08,0.0198643,-5724.18,0
4.73997e-08,0.0198638,-5736.26,0
4.74997e-08,0.0198632,-5748.34,0
4.75997e-08,0.0198626,-5760.41,0
4.76997e-08,0.019862,-5772.49,0
4.77997e-08,0.0198615,-5784.56,0
4.78997e-08,0.0198609,-5796.64,0
4.79997e-08,0.0198603,-5808.72,0
4.80997e-08,0.0198597,-5820.79,0
4.81997e-08,0.0198591,-5832.87,0
4.82997e-08,0.0198586,-5844.95,0
4.83997e-08,0.019858,-5857.02,0
4.84997e-08,0.0198574,-5869.1,0
4.85997e-08,0.0198568,-5881.17,0
4.86997e-08,0.0198562,-5893.25,0
4.87997e-08,0.0198556,-5905.33,0
4.88997e-08,0.019855,-5917.4,0
4.89997e-08,0.0198544,-5929.48,0
4.90997e-08,0.0198538,-5941.55,0
4.91997e-08,0.0198532,-5953.63,0
4.92997e-08,0.0198526,-5965.71,0
4.93997e-08,0.0198521,-5977.78,0
4.94997e-08,0.0198515,-5989.86,0
4.95997e-08,0.0198509,-6001.94,0
4.96997e-08,0.0198503,-6014.01,0
4.97996e-08,0.0198497,-6026.09,0
4.98996e-08,0.019849,-6038.16,0
4.99996e-08,0.0198484,-6050.24,0
5.00996e-08,0.0198478,-6062.32,0
5.01996e-08,0.0198472,-6074.39,0
5.02996e-08,0.0198466,-6086.47,0
5.03996e-08,0.019846,-6098.54,0
5.04996e-08,0.0198454,-6110.62,0
5.05996e-08,0.0198448,-6122.7,0
5.06996e-08,0.0198442,-6134.77,0
5.07996e-08,0.0198436,-6146.85,0
5.08996e-08,0.019843,-6158.93,0
5.09996e-08,0.0198423,-6171,0
5.10996e-08,0.0198417,-6183.08,0
5.11996e-08,0.0198411,-6195.15,0
5.12996e-08,0.0198405,-6207.23,0
5.13996e-08,0.0198399,-6219.31,0
5.14996e-08,0.0198392,-6231.38,0
5.15996e-08,0.0198386,-6243.46,0
5.16996e-08,0.019838,-6255.54,0
5.17996e-08,0.0198374,-6267.61,0
5.18996e-08,0.0198367,-6279.69,0
5.19996e-08,0.0198361,-6291.76,0
5.20996e-08,0.0198355,-6303.84,0
5.21996e-08,0.0198348,-6315.92,0
5.22996e-08,0.0198342,-6327.99,0
5.23996e-08,0.0198336,-6340.07,0
5.24996e-08,0.0198329,-6352.14,0
5.25996e-08,0.0198323,-6364.22,0
5.26996e-08,0.0198317,-6376.3,0
5.27996e-08,0.019831,-6388.37,0
5.28996e-08,0.0198304,-6400.45,0
5.29996e-08,0.0198298,-6412.53,0
5.30996e-08,0.0198291,-6424.6,0
5.31996e-08,0.0198285,-6436.68,0
5.32996e-08,0.0198278,-6448.75,0
5.33996e-08,0.0198272,-6460.83,0
5.34996e-08,0.0198265,-6472.91,0
5.35996e-08,0.0198259,-6484.98,0
5.36996e-08,0.0198252,-6497.06,0
5.37996e-08,0.0198246,-6509.13,0
5.38996e-08,0.0198239,-6521.21,0
5.39996e-08,0.0198233,-6533.29,0
5.40996e-08,0.0198226,-6545.36,0
5.41996e-08,0.019822,-6557.44,0
5.42996e-08,0.0198213,-6569.52,0
5.43996e-08,0.0198207,-6581.59,0
5.44996e-08,0.01982,-6593.67,0
5.45996e-08,0.0198193,-6605.74,0
5.46996e-08,0.0198187,-6617.82,0
5.47996e-08,0.019818,-6629.9,0
5.48996e-08,0.0198173,-6641.97,0
5.49996e-08,0.0198167,-6654.05,0
5.50996e-08,0.019816,-6666.12,0
5.51996e-08,0.0198153,-6678.2,0
5.52996e-08,0.0198147,-6690.28,0
5.53995e-08,0.019814,-6702.35,0
5.54995e-08,0.0198133,-6714.43,0
5.55995e-08,0.0198127,-6726.51,0
5.56995e-08,0.019812,-6738.58,0
5.57995e-08,0.0198113,-6750.66,0
5.58995e-08,0.0198106,-6762.73,0
5.59995e-08,0.01981,-6774.81,0
5.60995e-08,0.0198093,-6786.89,0
5.61995e-08,0.0198086,-6798.96,0
5.62995e-08,0.0198079,-6811.04,0
5.63995e-08,0.0198072,-6823.12,0
5.64995e-08,0.0198066,-6835.19,0
5.65995e-08,0.0198059,-6847.27,0
5.66995e-08,0.0198052,-6859.34,0
5.67995e-08,0.0198045,-6871.42,0
5.68995e-08,0.0198038,-6883.5,0
5.69995e-08,0.0198031,-6895.57,0
5.70995e-08,0.0198024,-6907.65,0
5.71995e-08,0.0198018,-6919.72,0
5.72995e-08,0.0198011,-6931.8,0
5.73995e-08,0.0198004,-6943.88,0
5.74995e-08,0.0197997,-6955.95,0
5.75995e-08,0.019799,-6968.03,0
5.76995e-08,0.0197983,-6980.11,0
5.77995e-08,0.0197976,-6992.18,0
5.78995e-08,0.0197969,-7004.26,0
5.79995e-08,0.0197962,-7016.33,0
5.80995e-08,0.0197955,-7028.41,0
5.81995e-08,0.0197948,-7040.49,0
5.82995e-08,0.0197941,-7052.56,0
5.83995e-08,0.0197934,-7064.64,0
5.84995e-08,0.0197927,-7076.71,0
5.85995e-08,0.0197919,-7088.79,0
5.86995e-08,0.0197912,-7100.87,0
5.87995e-08,0.0197905,-7112.94,0
5.88995e-08,0.0197898,-7125.02,0
5.89995e-08,0.0197891,-7137.1,0
5.90995e-08,0.0197884,-7149.17,0
5.91995e-08,0.0197877,-7161.25,0
5.92995e-08,0.019787,-7173.32,0
5.93995e-08,0.0197862,-7185.4,0
5.94995e-08,0.0197855,-7197.48,0
5.95995e-08,0.0197848,-7209.55,0
5.96995e-08,0.0197841,-7221.63,0
5.97995e-08,0.0197834,-7233.71,0
5.98995e-08,0.0197826,-7245.78,0
5.99995e-08,0.0197819,-7257.86,0
6.00995e-08,0.0197812,-7269.93,0
6.01995e-08,0.0197804,-7282.01,0
6.02995e-08,0.0197797,-7294.09,0
6.03995e-08,0.019779,-7306.16,0
6.04995e-08,0.0197783,-7318.24,0
6.05995e-08,0.0197775,-7330.31,0
6.06995e-08,0.0197768,-7342.39,0
6.07995e-08,0.0197761,-7354.47,0
6.08995e-08,0.0197753,-7366.54,0
6.09995e-08,0.0197746,-7378.62,0
6.10995e-08,0.0197738,-7390.7,0
6.11995e-08,0.0197731,-7402.77,0
6.12995e-08,0.0197724,-7414.85,0
6.13995e-08,0.0197716,-7426.92,0
6.14995e-08,0.0197709,-7439,0
6.15995e-08,0.0197701,-7451.08,0
6.16995e-08,0.0197694,-7463.15,0
6.17995e-08,0.0197686,-7475.23,0
6.18995e-08,0.0197679,-7487.3,0
6.19995e-08,0.0197671,-7499.38,0
6.20995e-08,0.0197664,-7511.46,0
6.21995e-08,0.0197656,-7523.53,0
6.22995e-08,0.0197649,-7535.61,0
6.23995e-08,0.0197641,-7547.69,0
6.24995e-08,0.0197634,-7559.76,0
6.25995e-08,0.0197626,-7571.84,0
6.26995e-08,0.0197619,-7583.91,0
6.27995e-08,0.0197611,-7595.99,0
6.28995e-08,0.0197603,-7608.07,0
6.29995e-08,0.0197596,-7620.14,0
6.30995e-08,0.0197588,-7632.22,0
6.31995e-08,0.0197581,-7644.29,0
6.32995e-08,0.0197573,-7656.37,0
6.33995e-08,0.0197565,-7668.45,0
6.34995e-08,0.0197558,-7680.52,0
6.35995e-08,0.019755,-7692.6,0
6.36995e-08,0.0197542,-7704.68,0
6.37995e-08,0.0197535,-7716.75,0
6.38995e-08,0.0197527,-7728.83,0
6.39996e-08,0.0197519,-7740.9,0
6.40996e-08,0.0197511,-7752.98,0
6.41996e-08,0.0197504,-7765.06,0
6.42996e-08,0.0197496,-7777.13,0
6.43996e-08,0.0197488,-7789.21,0
6.44996e-08,0.019748,-7801.29,0
6.45996e-08,0.0197472,-7813.36,0
6.46996e-08,0.0197465,-7825.44,0
6.47996e-08,0.0197457,-7837.51,0
6.48996e-08,0.0197449,-7849.59,0
6.49996e-08,0.0197441,-7861.67,0
6.50996e-08,0.0197433,-7873.74,0
6.51996e-08,0.0197425,-7885.82,0
6.52996e-08,0.0197417,-7897.89,0
6.53996e-08,0.019741,-7909.97,0
6.54996e-08,0.0197402,-7922.05,0
6.55996e-08,0.0197394,-7934.12,0
6.56996e-08,0.0197386,-7946.2,0
6.57996e-08,0.0197378,-7958.28,0
6.58996e-08,0.019737,-7970.35,0
