z, Voltage (V), Electric Field (Newton/Coulomb)
0.00712352 , 950.161 , -79108.8
0.00711852 , 949.766 , -79265.5
0.00711352 , 949.369 , -79421.5
0.00710852 , 948.971 , -79576.9
0.00710352 , 948.573 , -79731.8
0.00709852 , 948.174 , -79886
0.00709352 , 947.774 , -80039.6
0.00708852 , 947.374 , -80192.7
0.00708352 , 946.972 , -80345.1
0.00707852 , 946.57 , -80497
0.00707352 , 946.167 , -80648.3
0.00706852 , 945.764 , -80799.1
0.00706352 , 945.359 , -80949.2
0.00705852 , 944.954 , -81098.9
0.00705352 , 944.548 , -81247.9
0.00704852 , 944.142 , -81396.5
0.00704352 , 943.734 , -81544.5
0.00703852 , 943.326 , -81691.9
0.00703352 , 942.917 , -81838.9
0.00702852 , 942.508 , -81985.3
0.00702352 , 942.098 , -82131.1
0.00701852 , 941.687 , -82276.5
0.00701352 , 941.275 , -82421.4
0.00700852 , 940.862 , -82565.7
0.00700352 , 940.449 , -82709.5
0.00699852 , 940.035 , -82852.9
0.00699352 , 939.621 , -82995.7
0.00698852 , 939.205 , -83138.1
0.00698352 , 938.789 , -83280
0.00697852 , 938.372 , -83421.4
0.00697352 , 937.955 , -83562.3
0.00696852 , 937.537 , -83702.7
0.00696352 , 937.118 , -83842.7
0.00695852 , 936.698 , -83982.2
0.00695352 , 936.278 , -84121.2
0.00694852 , 935.857 , -84259.8
0.00694352 , 935.436 , -84398
0.00693852 , 935.013 , -84535.6
0.00693352 , 934.59 , -84672.9
0.00692852 , 934.167 , -84809.7
0.00692352 , 933.742 , -84946
0.00691852 , 933.317 , -85081.9
0.00691352 , 932.891 , -85217.4
0.00690852 , 932.465 , -85352.5
0.00690352 , 932.038 , -85487.1
0.00689852 , 931.61 , -85621.3
0.00689352 , 931.182 , -85755.1
0.00688852 , 930.752 , -85888.4
0.00688352 , 930.323 , -86021.4
0.00687852 , 929.892 , -86154
0.00687352 , 929.461 , -86286.1
0.00686852 , 929.029 , -86417.8
0.00686352 , 928.597 , -86549.2
0.00685852 , 928.164 , -86680.1
0.00685352 , 927.73 , -86810.6
0.00684852 , 927.296 , -86940.8
0.00684352 , 926.861 , -87070.5
0.00683852 , 926.425 , -87199.9
0.00683352 , 925.989 , -87328.9
0.00682852 , 925.552 , -87457.5
0.00682352 , 925.114 , -87585.8
0.00681852 , 924.676 , -87713.6
0.00681352 , 924.237 , -87841.1
0.00680852 , 923.797 , -87968.2
0.00680352 , 923.357 , -88095
0.00679852 , 922.917 , -88221.4
0.00679352 , 922.475 , -88347.4
0.00678852 , 922.033 , -88473.1
0.00678352 , 921.59 , -88598.4
0.00677852 , 921.147 , -88723.4
0.00677352 , 920.703 , -88848
0.00676852 , 920.259 , -88972.2
0.00676352 , 919.813 , -89096.2
0.00675852 , 919.368 , -89219.7
0.00675352 , 918.921 , -89343
0.00674852 , 918.474 , -89465.9
0.00674352 , 918.027 , -89588.4
0.00673852 , 917.578 , -89710.6
0.00673352 , 917.13 , -89832.5
0.00672852 , 916.68 , -89954.1
0.00672352 , 916.23 , -90075.3
0.00671852 , 915.779 , -90196.2
0.00671352 , 915.328 , -90316.8
0.00670852 , 914.876 , -90437.1
0.00670352 , 914.424 , -90557
0.00669852 , 913.971 , -90676.6
0.00669352 , 913.517 , -90796
0.00668852 , 913.063 , -90915
0.00668352 , 912.608 , -91033.6
0.00667852 , 912.152 , -91152
0.00667352 , 911.696 , -91270.1
0.00666852 , 911.24 , -91387.9
0.00666352 , 910.782 , -91505.3
0.00665852 , 910.324 , -91622.5
0.00665352 , 909.866 , -91739.4
0.00664852 , 909.407 , -91855.9
0.00664352 , 908.948 , -91972.2
0.00663852 , 908.487 , -92088.2
0.00663352 , 908.027 , -92203.9
0.00662852 , 907.565 , -92319.3
0.00662352 , 907.103 , -92434.4
0.00661852 , 906.641 , -92549.2
0.00661352 , 906.178 , -92663.7
0.00660852 , 905.714 , -92778
0.00660352 , 905.25 , -92892
0.00659852 , 904.785 , -93005.7
0.00659352 , 904.32 , -93119.1
0.00658852 , 903.854 , -93232.2
0.00658352 , 903.388 , -93345.1
0.00657852 , 902.921 , -93457.7
0.00657352 , 902.453 , -93570
0.00656852 , 901.985 , -93682.1
0.00656352 , 901.516 , -93793.9
0.00655852 , 901.047 , -93905.4
0.00655352 , 900.577 , -94016.7
0.00654852 , 900.107 , -94127.7
0.00654352 , 899.636 , -94238.4
0.00653852 , 899.165 , -94348.9
0.00653352 , 898.693 , -94459.1
0.00652852 , 898.22 , -94569.1
0.00652352 , 897.747 , -94678.8
0.00651852 , 897.273 , -94788.3
0.00651352 , 896.799 , -94897.5
0.00650852 , 896.324 , -95006.4
0.00650352 , 895.849 , -95115.1
0.00649852 , 895.373 , -95223.6
0.00649352 , 894.897 , -95331.8
0.00648852 , 894.42 , -95439.7
0.00648352 , 893.942 , -95547.5
0.00647852 , 893.464 , -95654.9
0.00647352 , 892.986 , -95762.2
0.00646852 , 892.507 , -95869.2
0.00646352 , 892.027 , -95975.9
0.00645852 , 891.547 , -96082.5
0.00645352 , 891.066 , -96188.7
0.00644852 , 890.585 , -96294.8
0.00644352 , 890.103 , -96400.6
0.00643852 , 889.621 , -96506.2
0.00643352 , 889.138 , -96611.6
0.00642852 , 888.655 , -96716.7
0.00642352 , 888.171 , -96821.6
0.00641852 , 887.687 , -96926.2
0.00641352 , 887.202 , -97030.7
0.00640852 , 886.716 , -97134.9
0.00640352 , 886.23 , -97238.9
0.00639852 , 885.744 , -97342.7
0.00639352 , 885.257 , -97446.2
0.00638852 , 884.77 , -97549.6
0.00638352 , 884.282 , -97652.7
0.00637852 , 883.793 , -97755.6
0.00637352 , 883.304 , -97858.3
0.00636852 , 882.814 , -97960.8
0.00636352 , 882.324 , -98063
0.00635852 , 881.834 , -98165.1
0.00635352 , 881.343 , -98266.9
0.00634852 , 880.851 , -98368.5
0.00634352 , 880.359 , -98469.9
0.00633852 , 879.866 , -98571.1
0.00633352 , 879.373 , -98672.1
0.00632852 , 878.88 , -98772.9
0.00632352 , 878.386 , -98873.5
0.00631852 , 877.891 , -98973.9
0.00631352 , 877.396 , -99074
0.00630852 , 876.9 , -99174
0.00630352 , 876.404 , -99273.8
0.00629852 , 875.908 , -99373.4
0.00629352 , 875.41 , -99472.7
0.00628852 , 874.913 , -99571.9
0.00628352 , 874.415 , -99670.9
0.00627852 , 873.916 , -99769.7
0.00627352 , 873.417 , -99868.3
0.00626852 , 872.917 , -99966.7
0.00626352 , 872.417 , -100065
0.00625852 , 871.917 , -100163
0.00625352 , 871.416 , -100261
0.00624852 , 870.914 , -100358
0.00624352 , 870.412 , -100456
0.00623852 , 869.91 , -100553
0.00623352 , 869.407 , -100650
0.00622852 , 868.903 , -100747
0.00622352 , 868.399 , -100844
0.00621852 , 867.895 , -100940
0.00621352 , 867.39 , -101036
0.00620852 , 866.884 , -101133
0.00620352 , 866.378 , -101228
0.00619852 , 865.872 , -101324
0.00619352 , 865.365 , -101420
0.00618852 , 864.858 , -101515
0.00618352 , 864.35 , -101610
0.00617852 , 863.842 , -101706
0.00617352 , 863.333 , -101800
0.00616852 , 862.824 , -101895
0.00616352 , 862.314 , -101990
0.00615852 , 861.804 , -102084
0.00615352 , 861.293 , -102178
0.00614852 , 860.782 , -102272
0.00614352 , 860.27 , -102366
0.00613852 , 859.758 , -102460
0.00613352 , 859.246 , -102553
0.00612852 , 858.733 , -102646
0.00612352 , 858.219 , -102740
0.00611852 , 857.705 , -102833
0.00611352 , 857.191 , -102925
0.00610852 , 856.676 , -103018
0.00610352 , 856.161 , -103111
0.00609852 , 855.645 , -103203
0.00609352 , 855.129 , -103295
0.00608852 , 854.612 , -103387
0.00608352 , 854.095 , -103479
0.00607852 , 853.577 , -103570
0.00607352 , 853.059 , -103662
0.00606852 , 852.541 , -103753
0.00606352 , 852.022 , -103844
0.00605852 , 851.502 , -103935
0.00605352 , 850.982 , -104026
0.00604852 , 850.462 , -104117
0.00604352 , 849.941 , -104208
0.00603852 , 849.42 , -104298
0.00603352 , 848.898 , -104388
0.00602852 , 848.376 , -104478
0.00602352 , 847.853 , -104568
0.00601852 , 847.33 , -104658
0.00601352 , 846.807 , -104747
0.00600852 , 846.283 , -104837
0.00600352 , 845.758 , -104926
0.00599852 , 845.234 , -105015
0.00599352 , 844.708 , -105104
0.00598852 , 844.183 , -105193
0.00598352 , 843.656 , -105282
0.00597852 , 843.13 , -105370
0.00597352 , 842.603 , -105459
0.00596852 , 842.075 , -105547
0.00596352 , 841.547 , -105635
0.00595852 , 841.019 , -105723
0.00595352 , 840.49 , -105811
0.00594852 , 839.961 , -105899
0.00594352 , 839.431 , -105986
0.00593852 , 838.901 , -106074
0.00593352 , 838.37 , -106161
0.00592852 , 837.839 , -106248
0.00592352 , 837.308 , -106335
0.00591852 , 836.776 , -106422
0.00591352 , 836.244 , -106508
0.00590852 , 835.711 , -106595
0.00590352 , 835.178 , -106681
0.00589852 , 834.644 , -106767
0.00589352 , 834.11 , -106853
0.00588852 , 833.576 , -106939
0.00588352 , 833.041 , -107025
0.00587852 , 832.505 , -107111
0.00587352 , 831.969 , -107197
0.00586852 , 831.433 , -107282
0.00586352 , 830.897 , -107367
0.00585852 , 830.36 , -107452
0.00585352 , 829.822 , -107537
0.00584852 , 829.284 , -107622
0.00584352 , 828.746 , -107707
0.00583852 , 828.207 , -107792
0.00583352 , 827.668 , -107876
0.00582852 , 827.128 , -107960
0.00582352 , 826.588 , -108045
0.00581852 , 826.048 , -108129
0.00581352 , 825.507 , -108213
0.00580852 , 824.966 , -108296
0.00580352 , 824.424 , -108380
0.00579852 , 823.882 , -108464
0.00579352 , 823.339 , -108547
0.00578852 , 822.797 , -108630
0.00578352 , 822.253 , -108714
0.00577852 , 821.709 , -108797
0.00577352 , 821.165 , -108880
0.00576852 , 820.621 , -108962
0.00576352 , 820.076 , -109045
0.00575852 , 819.53 , -109128
0.00575352 , 818.984 , -109210
0.00574852 , 818.438 , -109292
0.00574352 , 817.891 , -109375
0.00573852 , 817.344 , -109457
0.00573352 , 816.797 , -109539
0.00572852 , 816.249 , -109620
0.00572352 , 815.701 , -109702
0.00571852 , 815.152 , -109784
0.00571352 , 814.603 , -109865
0.00570852 , 814.053 , -109946
0.00570352 , 813.503 , -110028
0.00569852 , 812.953 , -110109
0.00569352 , 812.402 , -110190
0.00568852 , 811.851 , -110270
0.00568352 , 811.3 , -110351
0.00567852 , 810.748 , -110432
0.00567352 , 810.195 , -110512
0.00566852 , 809.642 , -110593
0.00566352 , 809.089 , -110673
0.00565852 , 808.536 , -110753
0.00565352 , 807.982 , -110833
0.00564852 , 807.427 , -110913
0.00564352 , 806.873 , -110993
0.00563852 , 806.317 , -111072
0.00563352 , 805.762 , -111152
0.00562852 , 805.206 , -111231
0.00562352 , 804.65 , -111311
0.00561852 , 804.093 , -111390
0.00561352 , 803.536 , -111469
0.00560852 , 802.978 , -111548
0.00560352 , 802.42 , -111627
0.00559852 , 801.862 , -111706
0.00559352 , 801.303 , -111784
0.00558852 , 800.744 , -111863
0.00558352 , 800.185 , -111941
0.00557852 , 799.625 , -112020
0.00557352 , 799.064 , -112098
0.00556852 , 798.504 , -112176
0.00556352 , 797.943 , -112254
0.00555852 , 797.381 , -112332
